date,content,total_minutes
2023-04-12,週40時間夕方1回勤務の相談(鴨林さん)(高林さん)　植田センター長に報告,20.0
2023-04-12,眼科紹介状作成　ID207000,10.0
2023-04-12,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-12,須田さんのクラーク対応　看護部から11:50で帰らないように依頼(植田センター長),10.0
2023-04-12,レターケース/OBC/メール確認　1130,10.0
2023-04-12,眼科入退院登録と診断書の担当再確認(中野さん)(高宮さん),10.0
2023-04-12,アイハンストーリックⅡ　DIUの資料入手(長谷川さん)　連絡待ち,10.0
2023-04-12,病棟変更　ID208940　ID38872,10.0
2023-04-12,眼科紹介状の連絡　ID207000,10.0
2023-04-12,クラーク業務の感想を聞く(石黒さん),10.0
2023-04-12,眼科診断書1通,10.0
2023-04-12,エアコンの電源を入れる　1225,5.0
2023-04-13,訪問看護指示書の作成,70.0
2023-04-13,翌週の手術指示確認,30.0
2023-04-13,昼食の購入　1100,20.0
2023-04-13,金曜日の第三医局掃除は中山さんに依頼(石黒さん),10.0
2023-04-13,新田眼科へ診療情報提供の返書確認(橋本副院長)(ID208015) ,10.0
2023-04-13,レターケース/OBC/メール確認　1130,10.0
2023-04-13,多職種役割分担推進会議のメンバー変更依頼(金吹主任),10.0
2023-04-13,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-13,多職種メーリングリストから刀塚副院長を外す(ML依頼),10.0
2023-04-13,木曜岩口先生のクラークと金曜日の第三医局掃除を中山さんに依頼,10.0
2023-04-13,アイハンストーリックの再計算,10.0
2023-04-13,エアコンの電源を入れる　1225,5.0
2023-04-14,訪問看護指示書の作成,80.0
2023-04-14,2022年度人事評価実施計画の作成　1000-1130,70.0
2023-04-14,翌週の手術指示確認,20.0
2023-04-14,多職種役割分担推進会議のメンバー変更依頼(金吹主任)　連絡待ち,10.0
2023-04-14,白内障術前検査後に採血無しで診察(66346　147633)　現在の運用確認(ORT)　,10.0
2023-04-14,石田先生の第3金曜日の枠数確認と紹介状作成依頼　900　25枠はそのまま　植田センター長とORTに報告,10.0
2023-04-14,ICLオペ録の差し替え,10.0
2023-04-14,オーダー修正　ID208771　食事オーダー　１時間前散瞳,10.0
2023-04-14,レターケース/OBC/メール確認　1130,10.0
2023-04-14,医療秘書課依頼書の登録　夕方,10.0
2023-04-14,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-14,4/12夕方の勤務をねぎらう(山本さん),10.0
2023-04-14,眼科紹介状1通作成,10.0
2023-04-14,エアコンの電源を入れる　1225,5.0
2023-04-15,2022年度人事評価実施計画の作成　1030-1130,70.0
2023-04-15,訪問看護指示書の作成,60.0
2023-04-15,業務説明(石黒さん),20.0
2023-04-15,翌週の手術指示確認,20.0
2023-04-15,来週のハイライトを決める　1140,10.0
2023-04-15,院外処方箋再発行(橋本副院長),10.0
2023-04-15,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-15,レターケース/OBC/メール確認　1130,10.0
2023-04-15,耳鼻咽喉科書類の相談(石黒さん),10.0
2023-04-15,エアコンの電源を入れる　1225,5.0
2023-04-17,翌月のアイセンター外来診察介助一覧の配信準備,80.0
2023-04-17,訪問看護指示書の作成,60.0
2023-04-17,アイセンター外来幹部会合 1530-1615,60.0
2023-04-17,9月以降の予約枠の修正(福留副科長),20.0
2023-04-17,眼科紹介状確認 2通,20.0
2023-04-17,有給休暇の申請は現時点で8/31まで(医療秘書課),10.0
2023-04-17,LASIK後IOL度数計算,10.0
2023-04-17,書類のスキャン処理,10.0
2023-04-17,田中先生9月以降の予約枠の確認(植田センター長),10.0
2023-04-17,翌日の予定確認とwill doリスト作成　1920,10.0
2023-04-17,2022年度人事評価実施計画の作成　1130-1200　1700-1800,10.0
2023-04-17,ステロイドパルス前の採血オーダー確認(植田センター長)(山本さん),10.0
2023-04-17,石田先生の第3金曜日の枠数確認　25枠はそのまま　1230まで可能　植田センター長に報告,10.0
2023-04-17,須田さんの勤務記録の作成,10.0
2023-04-17,レターケース/OBC/メール確認　1130,10.0
2023-04-17,アイセンター外来幹部会合の会場準備 1510,10.0
2023-04-17,眼科入院手術登録変更2件,10.0
2023-04-17,アイセンター外来幹部会合の議題準備,10.0
2023-04-17,トーリックIOL発注確認,10.0
2023-04-17,鈴木先生の土曜日の診察人数確認,5.0
2023-04-17,エアコンの電源を入れる　1225,5.0
2023-04-17,今月の夕礼の案内(16時10分～)(医療秘書課),5.0
2023-04-18,訪問看護指示書の作成,60.0
2023-04-18,舘先生のクラーク　1200-1230,30.0
2023-04-18,前月の消化器内科ADRの算出(本藤先生)(白岡さん),30.0
2023-04-18,Gitの設定　1700-1730,30.0
2023-04-18,ステロイドパルス前の採血オーダー確認(植田センター長)(山本さん),20.0
2023-04-18,翌週の手術指示確認,20.0
2023-04-18,トーリックIOL発注依頼とショードック補充,10.0
2023-04-18,5/1からの人事届提出(植田センター長),10.0
2023-04-18,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-18,レターケース/OBC/メール確認　1130,10.0
2023-04-18,エアコンの電源を入れる　1225,5.0
2023-04-19,5月以降の自分の勤務変更　月曜朝昼　カレンダー,30.0
2023-04-19,オペリオリモート機器の変更　午前梱包,30.0
2023-04-19,レンズ回転の対応と説明(中野さん),20.0
2023-04-19,翌週の手術指示確認,20.0
2023-04-19,多職種役割分担推進会議の日程調整準備,20.0
2023-04-19,アイセンター医療秘書課5/1からの業務担当調整,20.0
2023-04-19,翌月のアイセンター外来診察介助一覧の配信準備,20.0
2023-04-19,バビースモの準備(石黒さん),10.0
2023-04-19,あずきのチカラ確認(花崎さん),10.0
2023-04-19,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-19,ボトックスオーダーの説明,10.0
2023-04-19,アイセンター外来幹部会合の内容整理,10.0
2023-04-19,白内障術前検査後に診察室で手術決定してから採血が現在の運用確認(ORT)(花崎さん),10.0
2023-04-19,アイセンター外来幹部会合の内容報告(奥野さん),10.0
2023-04-19,今月のアイセンター外来診察介助一覧の差し替え,10.0
2023-04-19,オペリオリモート機器　昼にコンビニで郵送,10.0
2023-04-19,訪問看護指示書リストの更新　830,10.0
2023-04-19,2022年度人事評価実施計画の作成　1630-1830,10.0
2023-04-19,ステロイドパルス前の採血オーダーの説明(山本さん),10.0
2023-04-19,レターケース/OBC/メール確認　1130,10.0
2023-04-19,エアコンの電源を入れる　1225,5.0
2023-04-20,バビースモの説明(石黒さん),80.0
2023-04-20,前月の消化器内科ADRの算出(本藤先生)(白岡さん),20.0
2023-04-20,翌週の手術指示確認,20.0
2023-04-20,2022年度人事評価実施計画の作成　900-1030,10.0
2023-04-20,訪問看護指示書のファイルに色をつける,10.0
2023-04-20,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-20,アイセンター外来幹部会合の希望　月曜夕方　16時か16時30分開始か,10.0
2023-04-20,パナコム予約の修正(福留さん),10.0
2023-04-20,小林先生の白衣準備とトーリックIOL発注依頼,10.0
2023-04-20,レターケース/OBC/メール確認　1130,10.0
2023-04-20,入院手術登録 1件,10.0
2023-04-20,富山DMサマーキャンプ会合の様子を聞く(大代さん),10.0
2023-04-20,エアコンの電源を入れる　1225,5.0
2023-04-21,会合の録画受講,60.0
2023-04-21,小林先生のクラーク業務　倒像レンズ14D　点眼と器材確認　1700-1730,60.0
2023-04-21,翌週の手術指示確認,20.0
2023-04-21,バビースモの相談(石黒さん),20.0
2023-04-21,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-21,小林先生の白衣片付け,10.0
2023-04-21,小林先生のクラーク準備　予約確認,10.0
2023-04-21,レターケース/OBC/メール確認　1130,10.0
2023-04-21,会合のお礼状,10.0
2023-04-21,エアコンの電源を入れる　1225,5.0
2023-04-22,新田眼科へ診療情報提供の返書確認(橋本副院長)(ID208015)  富大と石田眼科,20.0
2023-04-22,会合のお礼状,20.0
2023-04-22,金沢大学への紹介状依頼(橋本副院長)　,20.0
2023-04-22,昼食の受け取り購入　1100,20.0
2023-04-22,翌週の手術指示確認,20.0
2023-04-22,文化講座の会場準備(大講堂)　900-920,20.0
2023-04-22,金沢大学への紹介状依頼(植田センター長)　ID192857,10.0
2023-04-22,文化講座の会場準備の段取り,10.0
2023-04-22,一時置き業務ファイル整理,10.0
2023-04-22,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-22,4/22石黒さんフォローのお礼(山本さん),10.0
2023-04-22,村岡様の眼科システム修正　1/5,10.0
2023-04-22,2022年度人事評価実施計画の作成　1000-1100,10.0
2023-04-22,レターケース/OBC/メール確認　1130,10.0
2023-04-22,翌月のアイセンター外来診察介助一覧の配信と差し替え(アイセンター医療秘書課),10.0
2023-04-22,エアコンの電源を入れる　1225,5.0
2023-04-24,2022年度人事評価実施計画の作成　930-1100,100.0
2023-04-24,アイセンタークラーク会合の議題準備,30.0
2023-04-24,日本メディカルAI学会の入会と交通宿泊準備検討　夕方,20.0
2023-04-24,ケナコルト両眼0.5瓶ずつのオーダーボタン作成(Gganka) 植田センター長にこれまでの分のお伺い,20.0
2023-04-24,レターケース/OBC/メール確認　1130,20.0
2023-04-24,翌週の手術指示確認,20.0
2023-04-24,医療秘書課夕礼　1610-1620,20.0
2023-04-24,金吹主任と郷倉課長を多職種MLに追加して二村副院長に報告　深田補佐は削除,10.0
2023-04-24,書類シュレッダー,10.0
2023-04-24,アイセンター朝昼外来チラシの配置と院外処方チラシの交換(看護部),10.0
2023-04-24,9月以降の中会議室の交渉(吉村さん)　第３月曜の16:30～17;15,10.0
2023-04-24,LASIK後IOL度数計算　ID95594,10.0
2023-04-24,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-24,文化講座の会場レイアウト修正,10.0
2023-04-24,金沢大学角膜外来予約　ID107670　ID192857　900,10.0
2023-04-24,不在連絡　医療秘書課とGganka　夕方,10.0
2023-04-24,渋井さん医療秘書課お見舞いの準備　白岡さんに依頼　自宅に郵送するかどうか 地域連携室からも預かる,5.0
2023-04-24,エアコンの電源を入れる　1225,5.0
2023-04-24,渋井さん病院からのお見舞い準備(総務課)(白岡さん),5.0
2023-04-25,2022年度人事評価実施計画の作成　900-1030,100.0
2023-04-25,翌週の手術指示確認,20.0
2023-04-25,アイセンタークラーク会合の議題準備,20.0
2023-04-25,眼科申し送り書印刷2件,20.0
2023-04-25,植田さんの体調を気遣う,10.0
2023-04-25,翌月のアイセンター外来診察介助一覧の配信と差し替え　勤務表最新を確認,10.0
2023-04-25,レターケース/OBC/メール確認　1130,10.0
2023-04-25,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-25,入院診療計画書の修正依頼,10.0
2023-04-25,エアコンの電源を入れる　1225,5.0
2023-04-26,2022年度人事評価実施計画の作成　900-1030,160.0
2023-04-26,翌週の手術指示確認,20.0
2023-04-26,医療秘書課電話当番表の配信,10.0
2023-04-26,アイセンタークラーク会合の議題配信,10.0
2023-04-26,石黒さんの様子を聞く,10.0
2023-04-26,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-26,レターケース/OBC/メール確認　1130,10.0
2023-04-27,2022年度人事評価実施計画の作成　900-1030,100.0
2023-04-27,看護研究のデータ分析方法(平井さん)　4/28まで,40.0
2023-04-27,翌週の手術指示確認,20.0
2023-04-27,眼科紹介状作成　1通,20.0
2023-04-27,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-27,4/21の外出は1230まででOK　石黒さん,10.0
2023-04-27,レターケース/OBC/メール確認　1130,10.0
2023-04-28,2022年度人事評価実施計画の作成　1700-1830,100.0
2023-04-28,アイセンタークラーク会合 1600-1630,40.0
2023-04-28,アイセンタークラーク会合の議事録作成,30.0
2023-04-28,アイセンタークラーク会合の会合資料作成,20.0
2023-04-28,日本メディカルAI学会の年会費出勤手続きと交通宿泊検討　夕方,20.0
2023-04-28,眼科診療カレンダーの更新(9月以降)　芳村先生10/4～10/6休診,20.0
2023-04-28,翌週の全麻手術指示が抜ける対策　パスに術式を入れる　しばらく水曜午前に確認 ロトミーサンピロ,20.0
2023-04-28,翌週の手術指示確認,20.0
2023-04-28,9月以降のHF予約の修正(福留さん),10.0
2023-04-28,眼科システムの保険術式追加(花崎さん)　斜視,10.0
2023-04-28,2次評価面談の日程案内　正職員5名　夕方,10.0
2023-04-28,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-28,医事課から出勤時間が遅いのではないかと指摘あり(松島さん)(白岡さん),10.0
2023-04-28,わかば病棟に変更　ID11630　川瀬様338NSK,10.0
2023-04-28,クリニカルパスの修正　強膜内固定　指示のみパスの散瞳,10.0
2023-04-28,5/5眼科休日当番の確認(総務課)(沙魚川さん)　1140,10.0
2023-04-28,8診ICL同意書ファイル差し替え(橋本副院長),10.0
2023-04-28,マキュエイド件数報告(植田センター長)(植田さん),10.0
2023-04-28,翌月のスケジュール登録,10.0
2023-04-28,ICL同意書の文面修正(橋本副院長),10.0
2023-04-28,9月以降の中会議室の登録　第３月曜の16:30～17;15,10.0
2023-04-28,レターケース/OBC/メール確認　1130,10.0
2023-04-28,眼科紹介状作成　1通,10.0
2023-04-28,翌月の業務記録作成,10.0
2023-05-01,2022年度人事評価実施計画の作成　900-1030　1430-1600,190.0
2023-05-01,日本メディカルAI学会の年会費出勤手続きと交通宿泊検討　1600,20.0
2023-05-01,Excelの起動が遅くなる対応,20.0
2023-05-01,眼内レンズ度数計算の相談(CO),20.0
2023-05-01,翌週の手術指示確認,20.0
2023-05-01,多職種役割分担推進会議日程連絡,10.0
2023-05-01,高林さんの相談と市販後調査と松島さんの件(白岡さん),10.0
2023-05-01,前月のOBC内容確認,10.0
2023-05-01,翌日の予定確認とwill doリスト作成　1910,10.0
2023-05-01,5月のアイセンター外来診察介助一覧の差し替え,10.0
2023-05-01,レターケース/OBC/メール確認　1130,10.0
2023-05-01,コロナワクチン係の希望(医療秘書課)　難しければこちらから指名,10.0
2023-05-01,金沢大学附属病院に紹介になるかもしれない ID10393 午前,10.0
2023-05-02,2022年度人事評価実施計画の作成　900-1030,100.0
2023-05-02,翌週の手術指示確認,20.0
2023-05-02,小牧さんと相談,20.0
2023-05-02,鈴木先生は出勤日数でOK(高宮さん),10.0
2023-05-02,点眼パターン表の説明(奥野さん),10.0
2023-05-02,アイセンター非常勤医師勤務記録の確認と提出,10.0
2023-05-02,レターケース/OBC/メール確認　1130,10.0
2023-05-02,トーリックIOL発注確認,10.0
2023-05-02,鈴木先生交通費の修正(植田センター長),10.0
2023-05-02,高林さんの土曜日の診察介助(針原師長)　連絡待ち　1130,10.0
2023-05-02,翌日の予定確認とwill doリスト作成　1910,10.0
2023-05-02,多職種役割分担推進会議日程連絡 吉崎先生の返信待ち　1130,10.0
2023-05-03,2022年度人事評価実施計画の作成　810-1010,130.0
2023-05-03,翌週の手術指示確認,20.0
2023-05-03,レターケース/OBC/メール確認　1130,10.0
2023-05-03,翌日の予定確認とwill doリスト作成　1910,10.0
2023-05-04,2022年度人事評価実施計画の作成　810-1010,130.0
2023-05-04,翌週の手術指示確認,20.0
2023-05-04,レターケース/OBC/メール確認　1130,10.0
2023-05-04,翌日の予定確認とwill doリスト作成　1910,10.0
2023-05-05,2022年度人事評価実施計画の作成　810-1010,130.0
2023-05-05,翌週の手術指示確認,20.0
2023-05-05,レターケース/OBC/メール確認　1130,10.0
2023-05-05,翌日の予定確認とwill doリスト作成　1910,10.0
2023-05-06,2022年度人事評価実施計画の作成　900-1030,100.0
2023-05-06,高林さん土曜日の診察介助の対応(針原師長)　連絡待ち,30.0
2023-05-06,翌週の手術指示確認,20.0
2023-05-06,入院予定と食事オーダー4件　1030,10.0
2023-05-06,翌日の予定確認とwill doリスト作成　1910,10.0
2023-05-06,Excelで印刷範囲を指定する方法,10.0
2023-05-06,レターケース/OBC/メール確認　1130,10.0
2023-05-06,鈴木先生5/12は19時までの連絡　1040,5.0
2023-05-08,2023年度第1回多職種役割分担推進会議の開催準備,30.0
2023-05-08,自己評価面談(山本さん),30.0
2023-05-08,自己評価面談(石黒さん)　9時開始で連絡,30.0
2023-05-08,自己評価面談(高宮さん),20.0
2023-05-08,13診トナー交換(中野さん),20.0
2023-05-08,自己評価面談(中野さん),20.0
2023-05-08,紹介状の相談(竹林さん),20.0
2023-05-08,2023年度第1回多職種役割分担推進会議の開催準備の行動計画作成,20.0
2023-05-08,金沢大学附属病院に紹介状下書き ID10393 5/10にお渡し,20.0
2023-05-08,2次評価の確定　正職員4名　面談後随時,20.0
2023-05-08,渋井さんのお見舞いを渡す(白岡さん),15.0
2023-05-08,ICLの相談(植田さん),10.0
2023-05-08,会社提出用の診断書希望(ID185616)　内容はご本人に確認　午前中,10.0
2023-05-08,自己評価面談の終了予定確認(白岡さん),5.0
2023-05-09,トーリックIOL発注依頼,20.0
2023-05-09,翌週の手術指示確認,20.0
2023-05-09,レターケース/OBC/メール確認　1130,10.0
2023-05-09,一時置き業務ファイル整理,10.0
2023-05-09,翌日の予定確認とwill doリスト作成　1910,10.0
2023-05-09,眼科紹介状作成1通　ID209638,10.0
2023-05-10,2023年度第1回多職種役割分担推進会議の開催準備　900-1030　1600-1730,120.0
2023-05-10,自己評価面談(花崎さん),50.0
2023-05-10,ID191860トーリックIOL発注漏れの経緯の確認(山本さん)(看護部),30.0
2023-05-10,金沢大学附属病院紹介状下書き ID10393 地域連携室にFAXで依頼　夕方,20.0
2023-05-10,眼科診療カレンダーの更新(9月以降)　芳村先生10/4～10/6休診,20.0
2023-05-10,翌週の手術指示確認,20.0
2023-05-10,6か月分の有給休暇申請(毎月第３金曜夕方)　2023/8/31分まで,10.0
2023-05-10,翌日の予定確認とwill doリスト作成　1910,10.0
2023-05-10,9月以降のHF予約の修正(福留さん),10.0
2023-05-10,眼科紹介状作成1通　ID209638,10.0
2023-05-10,芳村先生の12時以降の予約以外の患者の診察について(植田センター長)　5/2,10.0
2023-05-10,レターケース/OBC/メール確認　1130,10.0
2023-05-10,バビースモ市販後調査の説明,10.0
2023-05-10,小林先生の白衣準備 夕方,10.0
2023-05-10,特別休暇の説明と有給休暇の申請(石黒さん)　当日の0時-24時,10.0
2023-05-10,今月の不在連絡と勤務申請(医療秘書課)(Gganka)　5/19,10.0
2023-05-10,アイセンタークラーク会合の日程連絡　第4金曜に変更,5.0
2023-05-10,アイセンター外来幹部会合の日程連絡,5.0
2023-05-11,2023年度第1回多職種役割分担推進会議の開催準備　900-1030,90.0
2023-05-11,翌週の手術指示確認,20.0
2023-05-11,金沢大学附属病院紹介状 ID10393 橋本副院長内容確認後に自宅郵送か取りに来てもらう　1100,20.0
2023-05-11,眼科ホームページ修正依頼(橋本副院長),20.0
2023-05-11,アイセンタークラーク会合の議事録作成,20.0
2023-05-11,レターケース/OBC/メール確認　1130,10.0
2023-05-11,翌週の全麻手術指示確認,10.0
2023-05-11,翌日の予定確認とwill doリスト作成　1910,10.0
2023-05-11,眼科紹介状作成,10.0
2023-05-11,眼科診療カレンダーの更新(9月以降),10.0
2023-05-11,5月のLASIK後IOL度数計算の確認　計算したかどうか,10.0
2023-05-11,眼科システムに宮崎Nsを追加,5.0
2023-05-11,人事評価を5/12の午前中までに更新状態にする(白岡さん),5.0
2023-05-11,真鍋院長の講演(石黒さん),5.0
2023-05-11,退院時サマリの医師チェック確認(松島さん),5.0
2023-05-11,眼科システムの保険術式追加(花崎さん)　斜視,5.0
2023-05-12,2023年度第1回多職種役割分担推進会議の開催準備　900-1030,90.0
2023-05-12,小林先生のクラーク業務　倒像レンズ14D　点眼と器材確認　1630-1700,60.0
2023-05-12,院外処方箋の電話対応,40.0
2023-05-12,自己評価の確認と二次評価の入力　正職員2名,30.0
2023-05-12,オペリオモニタの問い合わせ(SSD),20.0
2023-05-12,自己評価の確認と二次評価の入力　正職員1名　1800,20.0
2023-05-12,翌週の手術指示確認,20.0
2023-05-12,バビースモの説明(石黒さん),20.0
2023-05-12,レターケース/OBC/メール確認　1130,10.0
2023-05-12,翌日の予定確認とwill doリスト作成　1910,10.0
2023-05-12,小林先生のクラーク準備　予約確認,10.0
2023-05-12,トーリック眼内レンズの説明(山本さん),10.0
2023-05-12,7診スリット画像の対応,10.0
2023-05-12,小林先生の白衣片付け,10.0
2023-05-12,5/13電話当番の連絡(中野さん)(あやめ病棟),10.0
2023-05-12,資料室PADのテスト　IOL計算,10.0
2023-05-12,全体朝礼　830-840,10.0
2023-05-13,鎌田先生のクラーク業務 1000-1230,150.0
2023-05-13,処方の問い合わせの対応(鎌田先生)(中野さん)　900,60.0
2023-05-13,翌週の手術指示確認,20.0
2023-05-13,翌日の予定確認とwill doリスト作成　1910,10.0
2023-05-13,LASIK後IOL度数計算　ID206738,10.0
2023-05-13,レターケース/OBC/メール確認　1130,10.0
2023-05-13,7診スリット画像の対応,10.0
2023-05-15,2022年度人事評価実施計画の作成　900-1030,90.0
2023-05-15,アイセンター外来幹部会合 1530-1615,60.0
2023-05-15,2023年度第1回多職種役割分担推進会議の開催準備　発表依頼,30.0
2023-05-15,バビースモ有害事象の確認と説明(石黒さん)　ID180235デスメ皺　もう1名,30.0
2023-05-15,翌週の手術指示確認,20.0
2023-05-15,術前術後の投薬内容の更新(ganka) 生食点滴の欄を追加,20.0
2023-05-15,眼科紹介状作成4通,20.0
2023-05-15,翌日の予定確認とwill doリスト作成　1910,10.0
2023-05-15,入院手術登録4件確認　1430,10.0
2023-05-15,面談の準備,10.0
2023-05-15,アイセンター外来幹部会合の会場準備 1510,10.0
